genes
mglB
glpD
glpK
mglA
glpQ
aspA
pdhR
lldD
glpF
mglC
acs
lrhA
yfeK
ycjY
pepE
mppA
rbsR
pckA
tnaA
abgA
aldA
argT
insA-2
insA-3
insA-4
insA-5
insA-6
insA-7
insA-8
insA-9
insA-10
insA-11
insA-12
insA-13
insA-14
insA-15
insA-16
insA-17
insA-18
ucpA
insA-19
insA-20
insA-21
insA-22
insA-23
insA-24
insA-26
insA-27
insA-28
gcvA
rbsA
lldR
ymdC
rihA
oppD
yggB
yidQ
ydiA
yebK
ycjG
fucI
ptr
yqeF
ykgG
ymdB
galK
yehT
rihC
yhdW
ppsA
edd
yffB
fucR
gabT
aceA
fruR
agp
nanA
yciK
betB
yihW
uxuB
rbsB
entF
ykgE
ytfL
yeeI
yieL
gpmB
ygiB
dnaG
maeB
murQ
rsd
yegU
fruB
dhaK
sfcA
ykgF
rbsK
pspE
frdA
gcd
msbB
sufB
ypfJ
gabD
ygaP
sufA
ade
pflD
fumB
mutM
kdgR
folA
proP
ybjQ
ugpQ
ydeN
smp
queA
uxuA
prkB
ytfG
sseA
sdhA
ydfH
ygaD
insA-1
entC
hsdR
yciL
yfhM
yjcO
tehB
rplT
trpR
glcB
srlB
ipk
ndh
crp
sufI
udhA
moaB
yneH
ygiS
wecG
yigP
rnfB
yfbQ
nuoI
yrbB
yajF
ribD
ynjE
entE
pstB
araF
amiA
gntR
rpiB
betA
flgA
rfaH
gutQ
fes
pyrH
ydcH
frsA
narX
ydgI
shiA
flhC
fruA
wrbA
yeiU
narP
malT
torZ
fruK
yjiY
rplQ
gltP
lnt
yieK
tyrR
malF
glgX
ydcL
yeiG
apbA
pepB
yjgQ
yebE
acnA
yibO
dinI
lpp
glgC
mntR
rnpA
lplA
pqqL
ybaQ
dppB
entB
abgB
nadR
flk
cpdB
hemA
lepB
frdB
yfcH
rnfC
rplM
ihfA
kbl
yjgR
yaiL
dxs
yhcQ
hslV
fxsA
ybhC
yqhD
malY
malK
trmE
cytR
flgJ
thiM
yhjU
yciT
galT
ybjP
cusS
flhB
apaH
yfeY
sucB
wbbD
rplC
yicH
putA
malM
pcm
degQ
yiiM
tolQ
ribF
tesB
talA
hmpA
ispH
nagB
oppF
alsB
xylE
ygiQ
ftsL
cysB
amiB
yihE
dsbC
yfcD
xylF
treR
mepA
rsmD
lipA
ycfD
folP
mrcB
nagA
ycgV
sbp
dnaN
yigN
yeaY
glpC
uxaC
dppD
trmA
bfr
moaE
yghZ
pqiB
ycdX
ftsX
yjhC
yjiA
murP
minC
ygiM
wcaA
yieH
ubiD
dld
nanE
wbbC
rbsD
yraM
recG
ysgA
zur
uvrY
erfK
recR
yggG
csrA
ymfB
xerD
tatA
kch
mviM
ybdH
flhD
fadI
dnaA
ligT
ychJ
moaC
yaeH
yggN
pyrE
sucC
yfhQ
gntT
cycA
glcE
ycfP
sapF
yjeP
yghU
tatC
mdlA
ycgN
mipA
ydaO
sdhB
yadR
yeaM
yceH
hemN
ribB
hscA
tesA
nuoG
dctA
ypeA
glnQ
gst
rluC
cheB
sseB
slmA
ybiL
yfhH
glnP
yaiW
yejM
narZ
phoU
yafV
sbcD
kdpD
sbcB
ygfE
rpmB
gpt
ccmG
nlpI
ybeA
yfeS
proV
pmrD
hypF
fdhE
fumA
menC
ygcF
ygjD
yliA
dppF
rna
yfeX
pyrI
potF
ynfJ
pyrD
ydjF
xasA
aspC
dadA
xdhD
ugpB
yajD
yfcM
gpsA
hemD
ybaE
hflC
nudC
fbp
galS
yafC
yfiP
ybhF
argA
amiC
galE
sucD
truA
gapC
pth
hrpA
ydhF
argK
cyaA
mdoD
aslA
malE
truB
hslJ
speG
cca
yjjX
rplU
sbmA
yfiQ
farR
galM
mdoB
yhiQ
pta
cydA
fkpB
pepT
mtlA
ppx
rstA
