mogA
yaaI
insL-1
nhaR
cirA
elfG
ribF
ispH
caiF
caiA
fixA
fixB
fixC
yaaU
kefC
apaG
araD
araB
thiQ
thiP
yabB
mraW
ftsL
murG
ftsQ
lpxC
mutT
hofB
aroP
yadF
yadM
yadB
ligT
mrcB
fhuC
fhuB
yadQ
yadR
dgt
yaeI
rpsB
ispC
uppS
yaeQ
yaeJ
cutF
metI
yafC
yafE
gloB
yafS
yafT
yhhI-1
yafK
yafL
prfH
gpt
phoE
proA
yagS
yagW
yagX
yagY
ykgA
ykgI
ykgC
ykgE
ykgF
ykgG
betI
betT
yahB
yahF
yahG
yahJ
prpR
cynR
cynS
lacA
lacZ
mhpA
mhpF
mhpE
mhpT
frmB
tauA
tauD
yaiV
sbmA
phoA
yaiI
yaiA
aroM
rdgC
phoR
secD
nrdR
nusB
thiL
xseB
cyoE
ybaW
cof
ybaO
mdlB
maa
hha
dnaX
adk
aes
ybaL
ybaQ
ybbL
ybbA
ybbC
ybbS
gcl
hyi
glxK
allC
ylbF
arcC
sfmC
rus
ybcQ
appY
ybcH
yhhI-2
cusR
cusC
ylcC
cusA
ybdG
insJ-1
ybdZ
entF
fepE
entC
entE
entB
citT
citG
citE
citC
citA
lipA
ybeF
lipB
mrdB
ybeV
insK-2
ybeX
ybeY
yleA
ubiF
nagA
nagB
nagE
seqA
kdpE
kdpD
ybfO
ybfD
ybgK
nei
farR
hrsA
cydB
tolQ
tolR
tolA
ybgR
modF
ybhA
ybhH
bioF
ybhK
moaB
ybhL
ybhP
ybhS
ybhF
ybiH
ybiX
ybiL
ybiO
mntR
yliE
cmr
ybjI
ybjJ
ybjL
nfsA
rimK
potG
potI
artM
artQ
ybjQ
ybjT
ltaE
hcr
hcp
macB
ycaJ
serS
dmsC
ycaO
ycaL
ycaI
lpxK
mukE
ycbB
ycbK
ssuD
ssuA
ssuE
ycbT
ycbF
uup
pqiA
ycbG
helD
yccX
yccK
hyaB
hyaE
yccC
cspH
cspG
torS
torR
yccE
ycdI
ycdC
ycdB
ycdQ
ycdT
insE-1
ycdX
csgG
csgD
mdoC
mdoH
yceL
mviN
flgA
flgF
flgH
plsX
pabC
yceG
fhuE
ycfM
ycfJ
ycfQ
ycfR
ycfU
lolD
ycfZ
pepT
ycfC
ymfC
minE
minD
umuC
mltE
dhaK
dhaR
ychF
pth
ipk
lolB
ychA
narJ
ychK
hnr
oppC
oppF
cls
tonB
yciA
yciE
yciF
yciV
yciL
btuR
cysB
pgpB
yciS
yciM
yciR
yciW
sapD
sapB
sapA
ycjJ
puuD
pspF
pspD
pspE
ycjM
ycjN
ycjR
ycjT
ycjV
ycjW
fnr
abgT
abgB
abgA
abgR
zntB
dbpA
rzpR
ynaK
pinR
ynaE
ydbH
ydbL
feaR
feaB
ynbC
ynbD
acpD
aldA
ydcJ
mdoD
rimL
ydcN
ydcP
ydcT
yncA
yncB
ydcE
nhoA
narW
yddK
fdnG
yddM
yddO
yddP
yddR
yddS
dos
yddW
pqqL
ydeM
ydeN
ydeS
ydeT
yneA
tam
yneF
yneK
ydeH
ydfZ
ydfI
ydfJ
ydfR
dicC
ynfB
ynfC
ynfE
pntB
uidA
malI
malY
ydgT
rnfB
rnfC
tppB
sodB
purR
ydhB
norM
ydhR
ydhY
ydiH
ydiK
ydiB
aroD
ydiD
aroH
btuD
btuE
rplT
rpmI
yniC
ydjN
katE
ydjC
ydjR
spy
xthA
ynjD
ynjF
sppA
ydjG
ydjJ
mipA
yeaH
yeaI
yeaM
yeaP
yeaS
yeaT
yeaU
yoaH
sdaA
yoaD
rrmA
yebO
yebQ
htpX
prc
proQ
yebS
pphA
yebY
holE
exoX
ptrB
pykA
znuA
znuB
ruvB
ntpA
yecD
yecE
yecO
argS
flhA
cheY
cheR
tap
cheA
flhC
araG
yecI
yecJ
yecR
ftn
pgsA
uvrY
yedU
yedW
yedX
yodA
cbl
nac
cobS
yeeA
dacD
yeeE
hisD
hisF
hisI
wzy
rfbA
rfbD
wcaM
wcaI
wcaE
wcaD
wcaC
wcaB
wza
alkA
yegD
yegL
yegO
yegB
baeS
ogrK
yegS
gatR
molR
yehL
yehQ
yehR
yehX
dld
yohF
yohGH
sanA
yeiT
mglA
yeiB
folE
yeiI
yeiM
fruA
fruK
fruB
yeiP
rtn
yejB
yejE
rplY
yejM
yejO
ccmF
ccmE
napH
ada
rcsC
atoS
atoC
atoD
atoB
yfaQ
yfaA
yfaL
yfaD
yfaU
ais
yfbE
menE
yfbB
menF
elaC
nuoC
nuoB
nuoA
lrhA
yfbS
yfbU
yfcC
yfcG
yfcH
yfcI
hisP
accD
pdxB
mnmC
yfcA
sixA
fadJ
yfcZ
yfdC
evgA
evgS
yfdE
yfdW
yfdX
ddg
yfdZ
ypdA
ypdD
ypdF
ypdG
nupC
yfeR
yfeK
yfeT
murP
yfeW
yfeY
amiA
eutL
eutC
eutB
eutJ
cchA
eutT
maeB
ypfG
narQ
acrD
ypfH
ypfI
dapA
bcp
hyfB
hyfF
hyfR
yfhR
csiE
hcaB
hcaD
yphC
yphF
yphG
tadA
lepB
rseB
yfiE
yfiP
yfiM
yfiN
yfiB
rplS
rpsP
ffh
ppnK
yfjG
csiD
ygaV
ygaP
nrdF
proV
proX
ygaXY
srlD
norV
hypF
ascG
ascF
hycD
hycB
hypE
fhlA
ygbA
ygbI
ygbM
ygbN
truD
ftsB
cysD
cysH
cysJ
ygcN
ygcO
ygcP
ygcQ
ygcR
ygcU
yqcE
ygcE
mazG
relA
gudX
yqcA
yqcB
syd
queF
sdaC
sdaB
xni
fucI
fucK
fucR
gcvA
ygdL
mltA
ppdC
ptsP
ygdP
galR
ygeA
araE
kduI
yqeF
ygeQ
xdhB
ygeZ
yqeA
yqeC
ssnA
ygfM
ygfO
ygfT
ygfU
lysS
xerD
ygfY
ygfF
visC
ubiH
ygfE
serA
sbm
argK
ygfH
pgk
frcK
cmtA
yqgC
yqgD
galP
yggJ
yggR
yggW
yggM
ansB
trmB
mutY
yggX
mltC
nupG
yeeR
yafZ
yeeU
yghG
yghK
yghO
yghR
yghS
pitB
yghU
hybD
yghW
exbB
ygiX
ygiY
nudF
ygiC
ygiL
yqiG
folB
ygiH
ygiP
ttdA
ygjE
yqjH
yqjI
ebgA
ygjN
ygjQ
ygjU
ygjV
uxaA
uxaC
yqjC
yqjK
yhaK
tdcG
tdcD
tdcB
yhaB
yhaC
garK
garL
garP
garD
yhaV
agaR
agaZ
agaS
kbaY
agaB
agaD
agaI
yraQ
yhbO
yhbP
yhbT
yhbU
mtr
secG
folP
greA
yhbN
ptsN
ptsO
yrbL
mtgA
yhcG
nanK
nanT
nanA
dcuD
rplM
yhcB
yhcQ
yhcS
tldD
yhdP
yhdA
panF
yhdG
envR
acrE
yhdZ
rplF
rplB
gspD
gspF
gspK
gspL
rpsG
kefB
yheT
yhfK
frlC
yhfT
yhfZ
gph
dam
hofQ
nudE
hslR
yhgG
yhgA
yhgH
yhgI
gntT
rtcB
glpD
gntU
yhhW
yhhX
yhhZ
ugpE
livF
