gene_ID	count
ECB_00001	2
ECB_00002	11
ECB_00003	3
ECB_00004	6
ECB_00005	1
ECB_00006	0
ECB_00007	0
ECB_00008	35
ECB_00009	4
ECB_00010	1
ECB_00011	0
ECB_00012	0
ECB_00013	0
ECB_00014	52
ECB_00015	6
ECB_00016	0
ECB_00017	2
ECB_00018	11
ECB_00019	1
ECB_00020	0
ECB_00021	0
ECB_00022	0
ECB_00023	0
ECB_00024	0
ECB_00025	0
ECB_00026	0
ECB_00027	20
ECB_00028	0
ECB_00029	1
ECB_00030	12
ECB_00031	5
ECB_00032	0
ECB_00033	3
ECB_00034	0
ECB_00035	2
ECB_00036	2
ECB_00037	5
ECB_00038	0
ECB_00039	1
ECB_00040	0
ECB_00041	0
ECB_00042	0
ECB_00043	1
ECB_00044	9
ECB_00045	0
ECB_00046	0
ECB_00047	1
ECB_00048	0
ECB_00049	0
ECB_00050	0
ECB_00051	0
ECB_00052	19
ECB_00053	0
ECB_00054	0
ECB_00055	2
ECB_00056	2
ECB_00057	10
ECB_00058	12
ECB_00059	0
ECB_00060	0
ECB_00061	0
ECB_00062	0
ECB_00063	0
ECB_00064	7
ECB_00065	2
ECB_00066	10
ECB_00067	5
ECB_00068	0
ECB_00069	0
ECB_00070	11
ECB_00071	0
ECB_00072	1
ECB_00073	5
ECB_00074	7
ECB_00075	4
ECB_00076	4
ECB_00077	31
ECB_00078	0
ECB_00079	4
ECB_00080	5
ECB_00081	19
ECB_00082	7
ECB_00083	0
ECB_00084	2
ECB_00085	13
ECB_00086	0
ECB_00087	0
ECB_00088	7
ECB_00089	5
ECB_00090	1
ECB_00091	0
ECB_00092	0
ECB_00093	6
ECB_00094	2
ECB_00095	11
ECB_00096	17
ECB_00097	2125
ECB_00098	2
ECB_00099	14
ECB_00100	0
ECB_00101	0
ECB_00102	0
ECB_00103	0
ECB_00104	2
ECB_00105	0
ECB_00106	0
ECB_00107	0
ECB_00108	1
ECB_00109	1
ECB_00110	2
ECB_00111	49
ECB_00112	2
ECB_00113	40
ECB_00114	30
ECB_00115	37
ECB_00116	0
ECB_00117	27
ECB_00118	84
ECB_00119	0
ECB_00120	1
ECB_00121	0
ECB_00122	3
ECB_00123	11
ECB_00124	0
ECB_00125	0
ECB_00126	0
ECB_00127	13
ECB_00128	5
ECB_00129	0
ECB_00130	3
ECB_00131	1
ECB_00132	1
ECB_00133	2
ECB_00134	0
ECB_00135	3
ECB_00136	0
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	0
ECB_00141	0
ECB_00142	0
ECB_00143	0
ECB_00144	135
ECB_00145	17
ECB_00146	0
ECB_00147	1
ECB_00148	1
ECB_00149	36
ECB_00150	1
ECB_00151	4
ECB_00152	2
ECB_00153	44
ECB_00154	0
ECB_00155	46
ECB_00156	0
ECB_00157	0
ECB_00158	6
ECB_00159	0
ECB_00160	10
ECB_00161	0
ECB_00162	13
ECB_00163	0
ECB_00164	10
ECB_00165	3
ECB_00166	20
ECB_00167	46
ECB_00168	18
ECB_00169	0
ECB_00170	77
ECB_00171	3
ECB_00172	0
ECB_00173	0
ECB_00174	6
ECB_00175	22
ECB_00176	63
ECB_00177	25
ECB_00178	2
ECB_00179	0
ECB_00180	0
ECB_00181	1
ECB_00182	1
ECB_00183	8
ECB_00184	2
ECB_00185	1
ECB_00186	1
ECB_00187	3
ECB_00188	4
ECB_00189	1
ECB_00190	0
ECB_00191	1
ECB_00192	0
ECB_00193	64
ECB_00194	1
ECB_00195	1
ECB_00196	15
ECB_00197	3
ECB_00198	1
ECB_00199	4
ECB_00200	3
ECB_00201	5
ECB_00202	4
ECB_00203	1
ECB_00204	1
ECB_00205	1
ECB_00206	1
ECB_00207	0
ECB_00208	4
ECB_00209	0
ECB_00210	0
ECB_00211	0
ECB_00212	0
ECB_00213	0
ECB_00214	3
ECB_00215	2
ECB_00216	790
ECB_00217	3
ECB_00218	1
ECB_00219	0
ECB_00220	6
ECB_00221	1
ECB_00222	0
ECB_00223	0
ECB_00224	1
ECB_00225	0
ECB_00226	2
ECB_00227	0
ECB_00228	0
ECB_00229	0
ECB_00230	0
ECB_00231	1
ECB_00232	11
ECB_00233	1
ECB_00234	5
ECB_00235	14
ECB_00236	0
ECB_00237	0
ECB_00238	0
ECB_00239	1
ECB_00240	12
ECB_00241	0
ECB_00242	0
ECB_00243	1
ECB_00244	0
ECB_00245	0
ECB_00246	3
ECB_00247	1
ECB_00248	1
ECB_00249	3
ECB_00250	0
ECB_00251	0
ECB_00252	0
ECB_00253	0
ECB_00254	0
ECB_00255	0
ECB_00256	4
ECB_00257	0
ECB_00258	0
ECB_00259	0
