gene_ID	count
ECB_00001	11
ECB_00002	33
ECB_00003	19
ECB_00004	24
ECB_00005	2
ECB_00006	0
ECB_00007	0
ECB_00008	58
ECB_00009	4
ECB_00010	0
ECB_00011	3
ECB_00012	0
ECB_00013	0
ECB_00014	110
ECB_00015	2
ECB_00016	1
ECB_00017	1
ECB_00018	10
ECB_00019	6
ECB_00020	0
ECB_00021	0
ECB_00022	0
ECB_00023	0
ECB_00024	1
ECB_00025	0
ECB_00026	0
ECB_00027	43
ECB_00028	0
ECB_00029	5
ECB_00030	47
ECB_00031	12
ECB_00032	2
ECB_00033	12
ECB_00034	7
ECB_00035	4
ECB_00036	10
ECB_00037	48
ECB_00038	0
ECB_00039	0
ECB_00040	0
ECB_00041	0
ECB_00042	1
ECB_00043	0
ECB_00044	0
ECB_00045	0
ECB_00046	0
ECB_00047	0
ECB_00048	0
ECB_00049	0
ECB_00050	1
ECB_00051	1
ECB_00052	3
ECB_00053	4
ECB_00054	1
ECB_00055	3
ECB_00056	6
ECB_00057	13
ECB_00058	34
ECB_00059	4
ECB_00060	2
ECB_00061	1
ECB_00062	2
ECB_00063	0
ECB_00064	0
ECB_00065	0
ECB_00066	4
ECB_00067	6
ECB_00068	0
ECB_00069	0
ECB_00070	0
ECB_00071	5
ECB_00072	6
ECB_00073	46
ECB_00074	16
ECB_00075	5
ECB_00076	7
ECB_00077	12
ECB_00078	0
ECB_00079	9
ECB_00080	4
ECB_00081	37
ECB_00082	11
ECB_00083	22
ECB_00084	3
ECB_00085	105
ECB_00086	17
ECB_00087	7
ECB_00088	13
ECB_00089	12
ECB_00090	8
ECB_00091	9
ECB_00092	26
ECB_00093	21
ECB_00094	9
ECB_00095	33
ECB_00096	125
ECB_00097	316
ECB_00098	4
ECB_00099	166
ECB_00100	1
ECB_00101	1
ECB_00102	4
ECB_00103	0
ECB_00104	7
ECB_00105	0
ECB_00106	3
ECB_00107	0
ECB_00108	4
ECB_00109	4
ECB_00110	7
ECB_00111	10
ECB_00112	6
ECB_00113	1210
ECB_00114	236
ECB_00115	208
ECB_00116	0
ECB_00117	280
ECB_00118	7
ECB_00119	1
ECB_00120	3
ECB_00121	11
ECB_00122	3
ECB_00123	61
ECB_00124	10
ECB_00125	19
ECB_00126	6
ECB_00127	9
ECB_00128	9
ECB_00129	1
ECB_00130	6
ECB_00131	2
ECB_00132	6
ECB_00133	3
ECB_00134	1
ECB_00135	0
ECB_00136	0
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	0
ECB_00141	0
ECB_00142	5
ECB_00143	0
ECB_00144	32
ECB_00145	13
ECB_00146	1
ECB_00147	5
ECB_00148	8
ECB_00149	59
ECB_00150	3
ECB_00151	7
ECB_00152	6
ECB_00153	28
ECB_00154	3
ECB_00155	23
ECB_00156	1
ECB_00157	0
ECB_00158	18
ECB_00159	4
ECB_00160	44
ECB_00161	7
ECB_00162	42
ECB_00163	3
ECB_00164	23
ECB_00165	9
ECB_00166	20
ECB_00167	94
ECB_00168	54
ECB_00169	4
ECB_00170	87
ECB_00171	1
ECB_00172	6
ECB_00173	6
ECB_00174	15
ECB_00175	70
ECB_00176	307
ECB_00177	58
ECB_00178	28
ECB_00179	10
ECB_00180	9
ECB_00181	4
ECB_00182	21
ECB_00183	19
ECB_00184	1
ECB_00185	5
ECB_00186	3
ECB_00187	4
ECB_00188	8
ECB_00189	3
ECB_00190	0
ECB_00191	3
ECB_00192	0
ECB_00193	16
ECB_00194	8
ECB_00195	9
ECB_00196	60
ECB_00197	4
ECB_00198	11
ECB_00199	2
ECB_00200	2
ECB_00201	3
ECB_00202	16
ECB_00203	3
ECB_00204	27
ECB_00205	2
ECB_00206	3
ECB_00207	4
ECB_00208	2
ECB_00209	0
ECB_00210	0
ECB_00211	1
ECB_00212	0
ECB_00213	0
ECB_00214	0
ECB_00215	1
ECB_00216	330
ECB_00217	12
ECB_00218	10
ECB_00219	3
ECB_00220	0
ECB_00221	4
ECB_00222	1
ECB_00223	0
ECB_00224	0
ECB_00225	0
ECB_00226	2
ECB_00227	3
ECB_00228	0
ECB_00229	0
ECB_00230	0
ECB_00231	0
ECB_00232	55
ECB_00233	0
ECB_00234	9
ECB_00235	104
ECB_00236	0
ECB_00237	0
ECB_00238	2
ECB_00239	4
ECB_00240	1
ECB_00241	0
ECB_00242	3
ECB_00243	1
ECB_00244	0
ECB_00245	0
ECB_00246	7
ECB_00247	1
ECB_00248	0
ECB_00249	1
ECB_00250	0
ECB_00251	0
ECB_00252	0
ECB_00253	0
ECB_00254	0
ECB_00255	3
ECB_00256	3
ECB_00257	0
ECB_00258	0
ECB_00259	0
ECB_00260	0
ECB_00261	0
ECB_00262	0
ECB_00263	2
ECB_00264	0
ECB_00265	0
ECB_00266	0
ECB_00267	15
ECB_00268	15
ECB_00269	1
ECB_00270	10
ECB_00271	1
ECB_00272	0
ECB_00273	0
ECB_00274	1
ECB_00275	0
ECB_00276	0
ECB_00277	0
ECB_00278	1
ECB_00279	2
ECB_00280	2
ECB_00281	0
ECB_00282	0
ECB_00283	0
ECB_00284	1
