gene_ID	count
ECB_00001	65
ECB_00002	72
ECB_00003	22
ECB_00004	4
ECB_00005	3
ECB_00006	0
ECB_00007	1
ECB_00008	99
ECB_00009	34
ECB_00010	0
ECB_00011	6
ECB_00012	0
ECB_00013	0
ECB_00014	264
ECB_00015	5
ECB_00016	2
ECB_00017	5
ECB_00018	22
ECB_00019	5
ECB_00020	1
ECB_00021	0
ECB_00022	0
ECB_00023	1
ECB_00024	1
ECB_00025	0
ECB_00026	0
ECB_00027	12
ECB_00028	4
ECB_00029	4
ECB_00030	11
ECB_00031	3
ECB_00032	0
ECB_00033	18
ECB_00034	0
ECB_00035	5
ECB_00036	13
ECB_00037	35
ECB_00038	4
ECB_00039	0
ECB_00040	0
ECB_00041	0
ECB_00042	0
ECB_00043	58
ECB_00044	36
ECB_00045	0
ECB_00046	0
ECB_00047	0
ECB_00048	0
ECB_00049	2
ECB_00050	9
ECB_00051	2
ECB_00052	53
ECB_00053	1
ECB_00054	2
ECB_00055	13
ECB_00056	8
ECB_00057	20
ECB_00058	20
ECB_00059	1
ECB_00060	0
ECB_00061	7
ECB_00062	12
ECB_00063	1
ECB_00064	16
ECB_00065	42
ECB_00066	82
ECB_00067	237
ECB_00068	0
ECB_00069	0
ECB_00070	0
ECB_00071	0
ECB_00072	8
ECB_00073	7
ECB_00074	4
ECB_00075	10
ECB_00076	6
ECB_00077	41
ECB_00078	11
ECB_00079	4
ECB_00080	24
ECB_00081	165
ECB_00082	82
ECB_00083	112
ECB_00084	47
ECB_00085	15
ECB_00086	4
ECB_00087	0
ECB_00088	6
ECB_00089	12
ECB_00090	3
ECB_00091	1
ECB_00092	0
ECB_00093	13
ECB_00094	7
ECB_00095	33
ECB_00096	65
ECB_00097	774
ECB_00098	4
ECB_00099	24
ECB_00100	6
ECB_00101	5
ECB_00102	17
ECB_00103	3
ECB_00104	13
ECB_00105	0
ECB_00106	0
ECB_00107	0
ECB_00108	3
ECB_00109	2
ECB_00110	9
ECB_00111	91
ECB_00112	24
ECB_00113	349
ECB_00114	139
ECB_00115	190
ECB_00116	5
ECB_00117	77
ECB_00118	203
ECB_00119	0
ECB_00120	2
ECB_00121	7
ECB_00122	5
ECB_00123	31
ECB_00124	8
ECB_00125	14
ECB_00126	2
ECB_00127	7
ECB_00128	19
ECB_00129	12
ECB_00130	6
ECB_00131	16
ECB_00132	14
ECB_00133	7
ECB_00134	0
ECB_00135	4
ECB_00136	1
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	0
ECB_00141	0
ECB_00142	4
ECB_00143	0
ECB_00144	462
ECB_00145	33
ECB_00146	0
ECB_00147	10
ECB_00148	5
ECB_00149	48
ECB_00150	0
ECB_00151	4
ECB_00152	1
ECB_00153	130
ECB_00154	5
ECB_00155	145
ECB_00156	3
ECB_00157	0
ECB_00158	4
ECB_00159	4
ECB_00160	197
ECB_00161	11
ECB_00162	87
ECB_00163	0
ECB_00164	16
ECB_00165	20
ECB_00166	41
ECB_00167	49
ECB_00168	8
ECB_00169	4
ECB_00170	167
ECB_00171	3
ECB_00172	6
ECB_00173	7
ECB_00174	14
ECB_00175	47
ECB_00176	59
ECB_00177	36
ECB_00178	18
ECB_00179	19
ECB_00180	1
ECB_00181	7
ECB_00182	8
ECB_00183	18
ECB_00184	31
ECB_00185	12
ECB_00186	0
ECB_00187	14
ECB_00188	22
ECB_00189	1
ECB_00190	3
ECB_00191	20
ECB_00192	0
ECB_00193	77
ECB_00194	0
ECB_00195	1
ECB_00196	17
ECB_00197	4
ECB_00198	1
ECB_00199	8
ECB_00200	17
ECB_00201	13
ECB_00202	69
ECB_00203	4
ECB_00204	29
ECB_00205	0
ECB_00206	4
ECB_00207	2
ECB_00208	7
ECB_00209	0
ECB_00210	0
ECB_00211	3
ECB_00212	5
ECB_00213	1
ECB_00214	14
ECB_00215	10
ECB_00216	3732
ECB_00217	18
ECB_00218	3
ECB_00219	14
ECB_00220	231
ECB_00221	66
ECB_00222	1
ECB_00223	0
ECB_00224	2
ECB_00225	0
ECB_00226	19
ECB_00227	0
ECB_00228	0
ECB_00229	0
ECB_00230	0
ECB_00231	1
ECB_00232	51
ECB_00233	4
ECB_00234	19
ECB_00235	298
ECB_00236	1
ECB_00237	1
ECB_00238	5
ECB_00239	11
ECB_00240	30
ECB_00241	0
ECB_00242	4
ECB_00243	5
ECB_00244	0
ECB_00245	1
ECB_00246	41
ECB_00247	6
ECB_00248	0
ECB_00249	15
ECB_00250	2
ECB_00251	0
ECB_00252	0
ECB_00253	0
ECB_00254	0
ECB_00255	0
ECB_00256	27
ECB_00257	0
ECB_00258	0
ECB_00259	0
ECB_00260	4
ECB_00261	1
ECB_00262	4
ECB_00263	2
ECB_00264	5
ECB_00265	0
ECB_00266	0
ECB_00267	0
ECB_00268	14
ECB_00269	38
ECB_00270	26
ECB_00271	2
ECB_00272	5
ECB_00273	1
ECB_00274	0
ECB_00275	1
ECB_00276	2
ECB_00277	0
ECB_00278	0
ECB_00279	0
ECB_00280	2
ECB_00281	0
ECB_00282	20
ECB_00283	72
ECB_00284	41
ECB_00285	0
ECB_00286	15
ECB_00287	3
ECB_00288	4
ECB_00289	12
ECB_00290	1
ECB_00291	0
ECB_00292	1
ECB_00293	4
ECB_00294	0
ECB_00295	3
ECB_00296	7
ECB_00297	5
ECB_00298	2
ECB_00299	14
ECB_00300	85
ECB_00301	1
ECB_00302	3
ECB_00303	0
ECB_00304	0
ECB_00305	1
ECB_00306	2
ECB_00307	0
ECB_00308	3
ECB_00309	1
ECB_00310	0
ECB_00311	0
ECB_00312	35
ECB_00313	0
ECB_00314	0
ECB_00315	2
ECB_00316	5
ECB_00317	0
ECB_00318	5
ECB_00319	9
ECB_00320	0
ECB_00321	5
ECB_00322	6
ECB_00323	9
ECB_00324	14
ECB_00325	15
ECB_00326	0
ECB_00327	117
ECB_00328	14
ECB_00329	0
ECB_00330	7
ECB_00331	7
ECB_00332	5
ECB_00333	7
ECB_00334	4
ECB_00335	1
ECB_00336	20
ECB_00337	3
ECB_00338	4
ECB_00339	45
ECB_00340	0
ECB_00341	0
ECB_00342	2
ECB_00343	13
ECB_00344	3
ECB_00345	1
ECB_00346	2
ECB_00347	0
ECB_00348	6
ECB_00349	42
ECB_00350	5
ECB_00351	1
ECB_00352	3
ECB_00353	1
ECB_00354	3
ECB_00355	5
ECB_00356	16
ECB_00357	14
ECB_00358	2
ECB_00359	37
ECB_00360	0
ECB_00361	5
ECB_00362	7
ECB_00363	4
ECB_00364	0
ECB_00365	3
ECB_00366	160
ECB_00367	75
ECB_00368	8
ECB_00369	5
ECB_00370	3
ECB_00371	1
ECB_00372	10
ECB_00373	40
ECB_00374	9
ECB_00375	5
ECB_00376	7
ECB_00377	4
ECB_00378	18
ECB_00379	44
ECB_00380	6
ECB_00381	8
ECB_00382	52
ECB_00383	80
ECB_00384	0
ECB_00385	0
ECB_00386	407
ECB_00387	39
ECB_00388	70
ECB_00389	191
ECB_00390	0
ECB_00391	9
ECB_00392	86
ECB_00393	13
ECB_00394	7
ECB_00395	4
ECB_00396	7
ECB_00397	101
ECB_00398	11
ECB_00399	81
ECB_00400	37
ECB_00401	9
ECB_00402	0
ECB_00403	8
ECB_00404	15
ECB_00405	5
ECB_00406	26
ECB_00407	3
ECB_00408	19
ECB_00409	19
ECB_00410	33
ECB_00411	31
ECB_00412	227
ECB_00413	10
ECB_00414	19
ECB_00415	1
ECB_00416	11
ECB_00417	3
ECB_00418	0
ECB_00419	2
ECB_00420	0
ECB_00421	1
ECB_00422	12
ECB_00423	3
ECB_00424	40
ECB_00425	15
ECB_00426	8
ECB_00427	2
ECB_00428	0
ECB_00429	12
ECB_00430	4
ECB_00431	30
ECB_00432	0
ECB_00433	7
