gene_ID	count
ECB_00001	150
ECB_00002	714
ECB_00003	328
ECB_00004	369
ECB_00005	33
ECB_00006	29
ECB_00007	3
ECB_00008	1060
ECB_00009	61
ECB_00010	59
ECB_00011	5
ECB_00012	0
ECB_00013	0
ECB_00014	4514
ECB_00015	215
ECB_00016	39
ECB_00017	4
ECB_00018	98
ECB_00019	8
ECB_00020	0
ECB_00021	1
ECB_00022	0
ECB_00023	1
ECB_00024	7
ECB_00025	0
ECB_00026	7
ECB_00027	1345
ECB_00028	3
ECB_00029	195
ECB_00030	966
ECB_00031	203
ECB_00032	21
ECB_00033	125
ECB_00034	28
ECB_00035	65
ECB_00036	472
ECB_00037	1346
ECB_00038	12
ECB_00039	3
ECB_00040	0
ECB_00041	3
ECB_00042	0
ECB_00043	7
ECB_00044	0
ECB_00045	6
ECB_00046	0
ECB_00047	1
ECB_00048	0
ECB_00049	3
ECB_00050	2
ECB_00051	23
ECB_00052	86
ECB_00053	23
ECB_00054	13
ECB_00055	52
ECB_00056	70
ECB_00057	556
ECB_00058	768
ECB_00059	43
ECB_00060	32
ECB_00061	89
ECB_00062	27
ECB_00063	1
ECB_00064	9
ECB_00065	6
ECB_00066	29
ECB_00067	161
ECB_00068	4
ECB_00069	4
ECB_00070	2
ECB_00071	24
ECB_00072	45
ECB_00073	555
ECB_00074	383
ECB_00075	289
ECB_00076	248
ECB_00077	662
ECB_00078	4
ECB_00079	265
ECB_00080	87
ECB_00081	421
ECB_00082	261
ECB_00083	318
ECB_00084	146
ECB_00085	1733
ECB_00086	453
ECB_00087	146
ECB_00088	147
ECB_00089	253
ECB_00090	85
ECB_00091	141
ECB_00092	312
ECB_00093	392
ECB_00094	148
ECB_00095	680
ECB_00096	1212
ECB_00097	4271
ECB_00098	64
ECB_00099	1052
ECB_00100	20
ECB_00101	9
ECB_00102	25
ECB_00103	16
ECB_00104	191
ECB_00105	0
ECB_00106	7
ECB_00107	0
ECB_00108	106
ECB_00109	45
ECB_00110	69
ECB_00111	401
ECB_00112	42
ECB_00113	6974
ECB_00114	2905
ECB_00115	3171
ECB_00116	4
ECB_00117	3851
ECB_00118	103
ECB_00119	131
ECB_00120	134
ECB_00121	60
ECB_00122	93
ECB_00123	309
ECB_00124	235
ECB_00125	364
ECB_00126	51
ECB_00127	139
ECB_00128	70
ECB_00129	20
ECB_00130	470
ECB_00131	11
ECB_00132	224
ECB_00133	89
ECB_00134	22
ECB_00135	1
ECB_00136	3
ECB_00137	1
ECB_00138	0
ECB_00139	0
ECB_00140	0
ECB_00141	3
ECB_00142	133
ECB_00143	3
ECB_00144	840
ECB_00145	272
ECB_00146	12
ECB_00147	44
ECB_00148	143
ECB_00149	304
ECB_00150	8
ECB_00151	40
ECB_00152	46
ECB_00153	369
ECB_00154	39
ECB_00155	372
ECB_00156	10
ECB_00157	4
ECB_00158	354
ECB_00159	66
ECB_00160	1682
ECB_00161	130
ECB_00162	488
ECB_00163	16
ECB_00164	607
ECB_00165	106
ECB_00166	226
ECB_00167	3931
ECB_00168	2103
ECB_00169	68
ECB_00170	1338
ECB_00171	54
ECB_00172	125
ECB_00173	64
ECB_00174	307
ECB_00175	1410
ECB_00176	3106
ECB_00177	715
ECB_00178	263
ECB_00179	142
ECB_00180	58
ECB_00181	23
ECB_00182	348
ECB_00183	359
ECB_00184	24
ECB_00185	52
ECB_00186	49
ECB_00187	91
ECB_00188	231
ECB_00189	20
ECB_00190	8
ECB_00191	28
ECB_00192	3
ECB_00193	311
ECB_00194	24
ECB_00195	64
ECB_00196	721
ECB_00197	58
ECB_00198	88
ECB_00199	46
ECB_00200	23
ECB_00201	34
ECB_00202	165
ECB_00203	29
ECB_00204	102
ECB_00205	18
ECB_00206	69
ECB_00207	16
ECB_00208	15
ECB_00209	1
ECB_00210	2
ECB_00211	7
ECB_00212	1
ECB_00213	3
ECB_00214	64
ECB_00215	81
ECB_00216	3217
ECB_00217	210
ECB_00218	48
ECB_00219	37
ECB_00220	25
ECB_00221	33
ECB_00222	1
ECB_00223	1
ECB_00224	0
ECB_00225	0
ECB_00226	12
ECB_00227	9
ECB_00228	0
ECB_00229	2
ECB_00230	3
ECB_00231	0
ECB_00232	326
ECB_00233	26
ECB_00234	88
ECB_00235	989
ECB_00236	2
ECB_00237	4
ECB_00238	7
ECB_00239	108
ECB_00240	87
ECB_00241	2
ECB_00242	2
ECB_00243	5
ECB_00244	0
ECB_00245	0
ECB_00246	138
ECB_00247	14
ECB_00248	4
ECB_00249	8
ECB_00250	2
ECB_00251	0
ECB_00252	0
ECB_00253	6
ECB_00254	9
ECB_00255	30
ECB_00256	46
ECB_00257	10
ECB_00258	0
ECB_00259	0
ECB_00260	3
ECB_00261	2
ECB_00262	12
ECB_00263	14
ECB_00264	19
ECB_00265	14
ECB_00266	4
ECB_00267	145
ECB_00268	150
ECB_00269	52
ECB_00270	122
ECB_00271	9
ECB_00272	20
ECB_00273	1
ECB_00274	3
ECB_00275	0
ECB_00276	5
ECB_00277	0
ECB_00278	0
ECB_00279	33
ECB_00280	28
ECB_00281	1
ECB_00282	3
ECB_00283	44
ECB_00284	31
ECB_00285	111
ECB_00286	2
ECB_00287	0
ECB_00288	2
ECB_00289	4
ECB_00290	21
ECB_00291	45
ECB_00292	1
ECB_00293	1
ECB_00294	4
ECB_00295	3
ECB_00296	5
ECB_00297	0
ECB_00298	12
ECB_00299	57
ECB_00300	514
ECB_00301	0
ECB_00302	6
