name,doubling.time.minutes,doubling.time.minutes.95m,doubling.time.minutes.95p,r.squared
Gluconate.tab,62.72714551,59.92653397,65.80235831,0.993396867
Glucose.tab,53.67995457,49.10029844,59.20179166,0.98493046
Glycerol.tab,84.09256028,74.28728971,96.87985071,0.978655127
Lactate.tab,100.4307315,92.47869035,109.8789863,0.96177919
MgSO4_000.080_mM.tab,62.16562822,56.5029441,69.08975323,0.970338997
MgSO4_000.800_mM.tab,63.60809667,56.92589362,72.06771046,0.959752519
MgSO4_008.000_mM.tab,62.36489043,58.11110352,67.29062701,0.983953962
MgSO4_050.000_mM.tab,56.26617627,51.52141871,61.97349608,0.97901149
MgSO4_200.000_mM.tab,54.49592511,50.42775732,59.27807632,0.98381498
MgSO4_400.000_mM.tab,82.91705779,77.89733837,88.62828121,0.981270804
MgSO4-2_000.005_mM.tab,69.19412053,65.29845183,73.58410671,0.988384832
MgSO4-2_000.010_mM.tab,64.32310473,60.79379548,68.28744883,0.98814319
MgSO4-2_000.020_mM.tab,62.77391883,59.65820042,66.2330145,0.990382414
MgSO4-2_000.040_mM.tab,60.35450581,56.57780956,64.67147228,0.984383516
MgSO4-2_000.080_mM.tab,58.99414607,55.43306824,63.0441689,0.985519703
NaCl_005_mM.tab,62.59630672,52.6876373,77.09516308,0.9256599
NaCl_100_mM.tab,66.03566192,57.17392907,78.14834651,0.926509335
NaCl_200_mM.tab,71.7909528,60.80324561,87.62573034,0.875937904
NaCl_300_mM.tab,94.55206746,80.49309685,114.5614333,0.859135365
